County,Schools_Affected,Fatalities,Key_Drivers,Primary_School_Type,Term,Infrastructure_Grade,Fire_Safety_Compliance,Student_Teacher_Ratio,Dormitory_Overcrowding (%),Parental_Complaints,Composite Risk Score,Risk Category
Nakuru,15,16,"Poor living conditions, discipline",Boarding,Term 2,D,Low,45:01:00,85,High,95,High Risk
Narok,15,0,"Dormitory fire, peer influence",Boarding,Term 2,D,Low,50:01:00,90,High,98,High Risk
Taita Taveta,13,0,Planned arson,Boarding,Term 2,D,Low,48:01:00,80,Medium,95.2,High Risk
Kericho,6,0,Dormitory fire (stranded 100 students),Boarding,Term 2,C,Medium,38:01:00,60,Medium,27.2,Low Risk
Embu,2,0,"Protests, walkouts",Mixed,Term 2,C,Medium,40:01:00,50,Low,26,Low Risk
Kakamega,2,0,Arson (library torched),Boarding,Term 2,C,Medium,42:01:00,65,Medium,29.8,Low Risk
Kisii,4,0,"Student walkouts, exam anxiety",Boarding,Term 2,C,Medium,41:01:00,55,Medium,27.4,Low Risk
Machakos,3,0,"Dormitory unrest, peer pressure",Boarding,Term 2,D,Low,47:01:00,75,High,93.8,High Risk
Uasin Gishu,5,0,"Poor meals, discipline",Boarding,Term 2,D,Low,46:01:00,80,High,94.4,High Risk
Meru,3,0,"Arson, administration complaints",Mixed,Term 2,C,Medium,39:01:00,50,Low,25.6,Low Risk
